# Indonesia postcards captions
# Format: filename | caption text
# Leave the right-hand side blank for no caption.

01_woman_field.mov | Bali
02_surf_at_sunset.mov | Bali
03_kite.mov | Bali
04_bromo.mov | Mount Bromo, East Java
05_sailing.mov | Komodo Islands
06_football.mov | Gili Trawangan
07_beach_ball.mov | Canggu Beach, Bali
08_bromo_food.mov | Mount Bromo, East Java
09_eating_by_bromo.mov | Mount Bromo, Eat Java
10_down_the_lane.mov | Medewi, Bali
11_sunrise_clouds.mov | Mount Ijen, East Java
12_volcano.mov | East Java
13_horse_beach.mov | Gili Trawangan
14_hans1.mov | Komodo National Park
