# Vietnam postcards captions
# Format: filename | caption text
# Leave the right-hand side blank for no caption.

01_ha_long_bay.MOV | Ha Long Bay
02_ha_long_bay2.mov | Ha Long Bay
03_hlb_boat_pull_out.mov | Ha Long Bay
04_volleyball.mov | Dong Van
05_ha_giang_corner.mov | Ha Giang Loop
06_waterfall_jump.mov | Ha Giang Loop
07_sapa_hotel.mov | Sa Pa
08_people_in_field.mov | Sa Pa
09_sapa_huts.mov | Sa Pa
10_hanoi_fishing.mov | Hanoi
11_hanoi_bridge.mov | Thê Húc Bridge, Hanoi
12_koi_fish.mov | Hanoi
